iter	RMSE
0	1.23781959
1	1.200878022
2	1.165212118
3	1.130558868
4	1.096740949
5	1.064362901
6	1.032616703
7	1.001932336
8	0.9721870217
9	0.9431066732
10	0.9150543898
11	0.887769929
12	0.8615070768
13	0.8357746236
14	0.8108262616
15	0.7869663345
16	0.7634949815
17	0.7408620166
18	0.7188196953
19	0.697511269
20	0.676647866
21	0.6564085709
22	0.636774716
23	0.6177281918
24	0.5993488363
25	0.581458679
26	0.5641174834
27	0.547378416
28	0.5310091505
29	0.5152166393
30	0.4998066718
31	0.4850327164
32	0.4706306272
33	0.4575260795
34	0.4439220878
35	0.4306453024
36	0.4178111725
37	0.4054205378
38	0.3933224043
39	0.3815595901
40	0.3701735752
41	0.3591413979
42	0.3484488765
43	0.3380868677
44	0.32797696
45	0.3182080421
46	0.3088018312
47	0.2995683564
48	0.2906730746
49	0.2820320275
50	0.2736170571
51	0.2655032938
52	0.257565726
53	0.2499183557
54	0.2424584316
55	0.2352442724
56	0.2282671471
57	0.2215058603
58	0.2150128002
59	0.2085891617
60	0.2023915606
61	0.1963688097
62	0.1905183318
63	0.1848260734
64	0.179369832
65	0.1740698219
66	0.1688800294
67	0.1638362093
68	0.1589435035
69	0.1542147428
70	0.1496546799
71	0.1451871287
72	0.1408534904
73	0.1366734185
74	0.1326070957
75	0.1286770804
76	0.1248385137
77	0.1211446772
78	0.1175516003
79	0.1141214165
80	0.1107229215
81	0.107429749
82	0.1042514118
83	0.1011781861
84	0.09840523344
85	0.09549233087
86	0.09265057119
87	0.08990219518
88	0.08724319135
89	0.08465957857
90	0.08215687891
91	0.07972815398
92	0.07736044457
93	0.07506406998
94	0.07283642564
95	0.07068721946
96	0.06860230964
97	0.06656970855
98	0.06461074367
99	0.06271906825
