iter	Passed	Remaining
0	237	23514
1	240	11802
2	243	7887
3	247	5940
4	249	4737
5	252	3954
6	254	3386
7	258	2968
8	260	2638
9	263	2371
10	266	2155
11	270	1980
12	273	1831
13	275	1694
14	278	1576
15	280	1475
16	283	1383
17	290	1325
18	300	1279
19	306	1226
20	311	1170
21	312	1108
22	319	1070
23	321	1017
24	327	982
25	336	958
26	339	916
27	342	879
28	344	842
29	347	810
30	348	776
31	352	748
32	355	721
33	358	695
34	361	671
35	363	646
36	366	623
37	369	603
38	372	582
39	374	561
40	377	542
41	380	525
42	383	508
43	387	492
44	390	476
45	393	462
46	396	447
47	400	433
48	405	421
49	408	408
50	411	395
51	418	386
52	420	372
53	423	360
54	424	347
55	428	336
56	431	325
57	434	314
58	436	303
59	440	293
60	445	284
61	448	274
62	452	265
63	455	256
64	461	248
65	471	243
66	480	236
67	485	228
68	494	222
69	498	213
70	502	205
71	508	197
72	511	189
73	515	181
74	520	173
75	525	165
76	527	157
77	531	149
78	533	141
79	538	134
80	541	127
81	547	120
82	552	113
83	556	105
84	559	98
85	563	91
86	567	84
87	572	78
88	576	71
89	579	64
90	582	57
91	585	50
92	591	44
93	594	37
94	598	31
95	603	25
96	610	18
97	612	12
98	619	6
99	625	0
